count,label,text_clean
0,1,iloveyouuutooo happy valentinesmissyou
1,1,he is too perfect to be real i love him so much omg
2,1,waa thank youu is this riku ww your art is very cute and wholesome i love it youre an amazing person too and
3,1,i love that
4,1,oh bee remember youre strong okay very strong im so proud of you and love you sm im sending s
5,1,yuhh
6,1,im happy youre trying again i love that book all of lanis books tbh
7,1,jihyo went from to i love her so much songjihyo runningman
8,1,you thought
9,1,hobi added a rug specially with hearts all over it so that he can show all his love for armys he is so precious i
10,1,shua loves making things
11,1,enebeeee thankieckskjs
12,1,he would love them
13,1,i miss you already yedam i hope you know how much i care and love you this noona will support you always i
14,1,most people looked at him with therror and fear but to snezhnaya chicks he was such a lovely dear
15,1,my little discord kitten dont be ill
16,1,love you so much more
17,1,aww this is the new year resolution i love to see
18,1,like look at the food while youre dancing too dont leave
19,1,respectlisa we love lisa
20,1,good night moots take care of yourselves and i love you all
21,1,a2 long hair is just so perfect i love the short hair too but long is peak
22,1,yeah id love it
23,1,yes thats why i loved him
24,1,i hate u
25,1,ou nice i used to love to try protein shakes but i have a soy allergy and most bases have a lot of that in it so
26,1,rei i love you
27,1,me 2 but it makes me sad and idk whylike a good sad idk how to explain it but i love that video so much
28,1,chan looks so lovely wearing a tuxedo
29,1,same but tysm
30,1,my forever valentine happy one year i love you always
31,1,i just love reading the comments kinda things i love to see
32,1,ugh i love him sm so proud
33,1,omg i love it chi omgg
34,1,will forever love these fits
35,1,thank you love
36,1,wandavision ep 5 who recasted this fella anyways loved this ep
37,1,he is the best i love him alot
38,1,i love you
39,1,i couldnt hide my identity from the girl i love shut up
40,1,love u both
41,1,i love you so much
42,1,this bitch is sick ugh i love her
43,1,no i love you
44,1,he is so endearing my heart is about to burst out of love
45,1,so true omg
46,1,chiharu wants love
47,1,and i love them even more
48,1,please watch this and love oneus with me theyre doing the choreo to a song but you can
49,1,omg thank uur very cool too
50,1,swears bro riri my love
51,1,happy valentines handsome thanks for putting up with my gay ass i love you so much
52,1,i love you and i mised you today i am blessed
53,1,i love this omg
54,1,yw bestie i love u millions lt3
55,1,i loved cesars gorgeous wiggle how you must miss him xxx
56,1,me would you still love me if im a worm him of course ill eat you so youll stay in my tyan tummy
57,1,not on love day smh
58,1,i love theweekend but this pepsihalftime wasnt it
59,1,i love him so much
60,1,yes i forgot to un this tweet but i did afterwards my apologies
61,1,i love you too baby
62,1,prayers and love for you to help you get through this most awful tragedy
63,1,i love you
64,1,hi hello since its valentines day would yall mind givin this some extra love maybe
65,1,i love uuuu
66,1,i love caty i finished im so happy all i want to do is curl up and sleep
67,1,check the acc i love it sjsjsj im gonna use it everyday
68,1,i love taylor swift so much
69,1,nelley i love your tweets and i was so happy to see you back on my tl you were the first person
70,1,i love frame 4
71,1,your haiiiiirrrr omfg i think im in love
72,1,my love for binjin is beyond the wordsterima kasih
73,1,she said she loves me man
74,1,hv a lovely day ahead n take care vannie
75,1,aaahh i love u too sweetie
76,1,i would love to babe but im just not up for company right now i love you to bits
77,1,my sister and i went to the store and bought a cupcake so we can sing happy birthday to we love you happy birthday h
78,1,sending an ocean of love and hugs to you you deserved to be finalist
79,1,love doesnt exist fr
80,1,i love u
81,1,omg u love me too much
82,1,i knew you loved me
83,1,ngl i thought he was cole sprouse for a minute
84,1,jaemin loves jisung so much
85,1,i love dubchaengs friendship so much
86,1,does anyone wanna fall in love this february
87,1,3 loves
88,1,my mom got a new puppy and i love her so much
89,1,thank you ros thank you for existing we love you so much happy birthday allourloverosday 2
90,1,id like to but he isnt great with my team i love him tho hes my favorite 4 and i screamed when i found him yesterday
91,1,i love him even more
92,1,we love you so much our best and talented leader please dont forget to take care of yourself
93,1,write me a love letter
94,1,i love you too ray yeah its kind of unfair to limit our favs when we hv tonsssss
95,1,i love you more
96,1,i love all my friends i miss them
97,1,pls not me tweeting this 3 mins ago i love bbcan7
98,1,our group selca for bangswiftselcaday love you
99,1,bitch ass loves to make us cry
100,1,i love yours too lt33
101,1,my nephew was just born i havent held him yet but i already love him with all my being
102,1,love u lexy
103,1,love u
104,1,lmaooo i love kissing during sex
105,1,this is so cute omg i love this
106,1,i really love shinwons music taste
107,1,fake love yoongi
108,1,omg ily thank u i love having u as a mutual tooo
109,1,i love you so much tete
110,1,thats my baby went way too fast i love you
111,1,not at you posting this on the right time i love you so much angel you are so amazing and perfect jimini
112,1,goodnight
113,1,yall better give this bearded tian a raise look how the girl in love now
114,1,its been 5 minutes but im already in love with my new bestie
115,1,i really love taehyung
116,1,we love you too bestie youre such a humble and sweet girl you deserve everything bestie
117,1,i love you too
118,1,my all time favourite pic from 2018 gulmarg kashmir idk why but i really love this pic
119,1,why i thought thats your backup or smth sorry love snsnenens sorry sorry im glad youre back now
120,1,i woke up seeing like 7 vday shiggys in my feed yall i love it here
121,1,i would but itll be too much tor me to finish
122,1,babe u r so sweet to me after all these years love you hope thank you for being you lt33
123,1,help heart and rt
124,1,aww thank you chica i love you so much
125,1,omg i remember this game i played it a lot as a kid id love to play it again i thought its dead
126,1,when she added a g and s to an instagram gif to make my g styles shes the most adorable i love her
127,1,lol uhun leave out of this neither one of yall even love me anymore
128,1,aite i gotta go now pspsps check the latest fleet to be on my dp love you all
129,1,xbsndhshdh thank you best girl koooo i love you so much bb
130,1,this is so lovely joits brilliant
131,1,i love my nail tech soooo bad
132,1,he loves you more
133,1,jisung i love u
134,1,i love you too angel
135,1,i love you more
136,1,pls stop banning me i just wanna find love so i dont end up with 30 cars dead in my apartment and eaten
137,1,we dont deserve u u make me feel really special i love you
138,1,my valentines gift came in the mail finally i fucking love my bf
139,1,geez my heart is in love rn
140,1,ty julz love needed this
141,1,someone show me a lil love today
142,1,why couldnt i think of any other foods
143,1,the sweetest of the sweetest i would love a dog like this
144,1,thankful for the love weve gotten on this track with if you havent listened make sure to ch
145,1,shit was a mistake but i love football
146,1,my love jin
147,1,if she really loved you she wouldve endured the salmonella just to please your cooking effort
148,1,awe love between war criminals is just
149,1,i love dealing w thoughtful women
150,1,never knew i could love someone so much how i love my puppy kid brings so much happiness to my life
151,1,i love you
152,1,probably the most amount of love ive ever gotten on my selfies before wtf
153,1,why were they not wearing gloves the whole time i can feel how bad that burns
154,1,i just love cl so much it hurts that she is not okay
155,1,it sounds so good its basically identical but i love how she changed her inflection in some of the words if that
156,1,lets not fall in love is one of my all time faves
157,1,yes my love
158,1,oomfie got a love you from taeil did u save lots of people in your past life
159,1,i love you so much my bb asha take care always see you soonest
160,1,i love him
161,1,i loved you still oh why i wait i smile letting go congratulations yes beter better cmiiw
162,1,happy new year baby love you so muchhhhhhhhhhhhhhhhhhhhhhhhhhh
163,1,i do you still love us
164,1,im so emotional i love her
165,1,sing orange with mashiii i love orange sm
166,1,missed amp love you more
167,1,i love that gif
168,1,omg so cute thankyou noona loveyou
169,1,ahhh thank you so much youre so sweet lots of love
170,1,i love allll cranberry juice
171,1,thanks for updating baby we love u
172,1,i probably would have loved long hair diego if the wig wasnt so obviously fake and short hair just
173,1,swear it never feels like spending when u make double i cant wait to b richi know they love it there
174,1,omgi wanna know who
175,1,90s love unit was really the best unit for nct 2020 i hope they would comeback together
176,1,i always do this and it makes me fall in love with these two again nd again barristerbabu
177,1,yk you love somebody when those tiktoks pop up amp you start hoping its their initial
178,1,no im not in love bro no i cant
179,1,i dont know if i hate him or i still love him
180,1,love the green
181,1,i am literally so loved
182,1,when you love arcade dates too much
183,1,i love 1team
184,1,i love you
185,1,yay lulu we need to talk about it bc i love this show soo much
186,1,i forgot how much i love this video pleaseeee masi lucu anj
187,1,istg i love this already
188,1,with stocks its a love hate thing you even wake to a easy 300 dollars or you lose it you never know
189,1,i love that omg
190,1,omg yesid love that lt333
191,1,nangis oh saya tengok june amp kopi movie ni as a dog lover i know exactly how it feels to lose your beloved pet dog
192,1,i love women just so beautiful
193,1,ksjskdjskss i love it just add korkut and these two and then its perfect
194,1,we were both young when i first saw you i love you so much taylor i have grown up with you and your music and th
195,1,happy valentines day i love love
196,1,no worries love i found out but thank u gen
197,1,ohh okay then i will never bother you
