count,label,text_clean
0,1,namjoon with his unique smile telling us that he loves us so muchhe is our universe
1,1,hi angel how are u doing in recovery we army kiss and love u very much
2,1,no death
3,1,love the way my grandma shows me off to her friends like look this is my first grandchild and shes working now b
4,1,love it
5,1,i love and hate politics its a dark rabbit hole that leads to nothing but motivation to change the world in one day
6,1,what if we made a childhood death pact together
7,1,wait aespa just released a new mv and i am not informed and the vocals wait im inlove with em
8,1,i love her sm
9,1,doyoungie wish me to be happier than him my love doyoungie i wish you to be the happiest one as you deserve
10,1,season 1 episode 2 part 15 screencaps the way he looks at her with such love
11,1,i love his voice so much
12,1,nothing to be sorry for lovely just missed you is all but breaks are important
13,1,same
14,1,i love a i know youre sleep but text
15,1,jimin has the purest soul ampampamp the most beautiful soul out here words cant describe how much i love him
16,1,i thought i hit u
17,1,love you the cutest please thegoldensong3ep12
18,1,cuteeeee i love you
19,1,im happy to have you in my life you will be my last love and pain forever love you bby
20,1,stanning treasure was one of the best decision i did thank you for bringing rays of sunshine to us boys we love y
21,1,i love shoes so much its sick unique and nice shoes are apart of my fashion identity
22,1,i love u sm bestfriend
23,1,i woke up today and my mood chose to be sappy today ive just got mad love for some people
24,1,love story since she dropped her version like 2 days ago getaway car dont blame and the whole folklore album
25,1,holy fuck there are a lot of leos here as an aquarius i love yall but holy shit there are so fuck
26,1,omg ahahaaha i thought u knew i loved u w my whole heart alr
27,1,taylors love story is on loop like it was 12 years ago
28,1,why am i now finding out my mom follows cardi b on ig she said she loves her
29,1,how much do u love us
30,1,none of them deserves it hmm at least dat guys death feels climactic i guess
31,1,praise the lord its a gift from god finally deactivate
32,1,one of the reasons i love him so fcking much theselflesslylovinghero oliverqueenismyking
33,1,eef i love you so much cries youre the best happy vday bb
34,1,im so sorry my love sending you all my prayers and thoughts if you need anything let me know
35,1,i love him a lot
36,1,i love that
37,1,i love my friends i had such a great birthday
38,1,aaaaaaa will min mention about moonbin being mini dong bang 10years ago
39,1,my heart has really been broken i love you cierra
40,1,we go together tho i love yous
41,1,whats uppa witthee
42,1,yeah i hate that they canceled schooled i loved it
43,1,this bitch is such a mood changer i love her
44,1,i love how august just wants his family to be whole again it reminds me of dean just wanting his fa
45,1,hol up nct 2020 i love this
46,1,tw btd boyfriend to death just saw someone with a btd layout alot of you follow and
47,1,i love u og
48,1,happy birthday love you remain my number one since iland youre growing so fast i still cant believe im old
49,1,cutie pieeeeee i love you
50,1,a total legend we loved following sir toms story last year such an inspiration rip
51,1,i just love this guy sm
52,1,my love
53,1,perioddd we love our children
54,1,90s love unit was really the best unit for nct 2020 i hope they would comeback together
55,1,change love story fifithen hay stephen
56,1,aww thank you bri
57,1,love u 8 left
58,1,i just love how the black lives matter movement literally forced so many of these white ass tv shows to acknowledge racism finally
59,1,always love her
60,1,i love u so much
61,1,a hug would be lovely rn
62,1,this distance is making me realize how dearly i love you i can never afford to lose you happy valentines day t
63,1,not at you posting this on the right time i love you so much angel you are so amazing and perfect jimini
64,1,you sing lovely
65,1,love u more
66,1,omggg alainnnneeeee you really put congratulations thankk youu all the love 12
67,1,i really love taking pictures
68,1,i love badiashille he could be pretty inexpensive but we already have a tall cb so kounde could be the one we need
69,1,i miss you so much heei hope you have a nice day i love you lt3
70,1,i love my teamcityzen4l
71,1,niggas hate on they own men but be in love with these rappers
72,1,i love you sho much too
73,1,we love you
74,1,being inlove with your two bestfriends is the worst thing everlikei dont which to choose
75,1,the member that i think first is yoongi
76,1,space for two pokemon youll learn to love sa hoenn
77,1,why are you so desperate to get charli girl dragged
78,1,i think its only me
79,1,babe lets see how you look
80,1,i love you too jake see you tomorrow
81,1,my mom bought me flowers and chocolate covered strawberries love it here
82,1,hobi day soon hes a babie i love him so much
83,1,ugh he doesnt love us
84,1,we die die tonight
85,1,i love youuu so much moree
86,1,omg theyre so freaking cute
87,1,woah enhypen really love their fans engenes we are so fvcking lucky to have these 7 boys
88,1,awwwww i love you
89,1,i love you
90,1,toni being apart of the group that just makes me i love to see it riverdale tonidale
91,1,ron listen to me followed by you really got me fucced up sound like i love you for some reason
92,1,ur a cutieeee omg thank you my love
93,1,pls i love u
94,1,goodmorning loml have a nice day please stay safe and hydrated iloveusm 3
95,1,she loves you back
96,1,thanks so much angel me too hopefully soon love you forever xxx
97,1,she looks so gorgeous im
98,1,nahhhhh tio tho i appreciate the follow and the love
99,1,what you wanted stage i love yonghee s screen time
100,1,riki loves me
101,1,i was having a bad day and one of my students gave me a big hug and said they loved me so now im
102,1,to all the boys ive loved before never fails me
103,1,teach me how to love
104,1,youre awesome i cant stop cryingi love you
105,1,i absolutely love the weekend i do just about the same exact thing every weekend but it hit every time
106,1,awe it means he loves you
107,1,love youuu bro
108,1,i love him
109,1,people in love make me puke
110,1,shes so lovely
111,1,youre so cute i love you
112,1,i love uu
113,1,hope i can watch quick enough to meet him i loved his design as a child
114,1,hnnn when he wished to be w bch one last time so he wouldnt be scared when he ded yuyu my love
115,1,idk why this is the way it is but i love it
116,1,omg i love this video so much i didnt know it was for you ahhaja
117,1,thought about one person making that post but its time to be real with myself if he really loved me and wanted m
118,1,the i had to pay but i have to admit i love the overall team growth
119,1,i love you so much my angel proud ako sayo miss you so much donkiss family donkiss donkissfam
120,1,i knowwwww i love you too bb
121,1,omggggg yaasss i already love your baby sm
122,1,thank you so much viv but i think ill let her have them literally i love
123,1,you are sooo appreciated thank you loveee
124,1,and coming up in a few months is the death anniversary of my sweet egyptian cat buddy
125,1,thank you for giving me support i really appreciate that love ya
126,1,the say i love you one
127,1,i love it
128,1,its lovely to meet you as well a follow back has been sent to you safe and soundly i hope you won
129,1,its going to be ok we can get through this together i love you now whos getting this last cookie
130,1,love and miss you how have you been
131,1,i love you kim jisoo and i wanna protect you at all costs
132,1,im so inlove with chenji
133,1,i just fell in love with these lashes youll be hearing from me as soon as i get paid
134,1,i love getting my ass and pussy fucked at the same time its been a while tho sellingnudes horny nudes
135,1,reminder for today i needed this thanks for the constant motivation loves
136,1,i love you my cuervo i still cannot believe youre all mine
137,1,rosie i love you
138,1,just continued watching a love so beautiful again bc y not
139,1,happy birthday to my first love i love you so much
140,1,and i love you
141,1,shes precious and i love her so so much
142,1,i love you so big
143,1,i dont usually but my baby needed love
144,1,god this mika card loves me sm can you pls just give me dollhousebutterfly mika
145,1,i love your coloring
146,1,i love this sm ty lt3 and yes this is so accurate you really saw right through me
147,1,i rlly hope its the second option also i love ur fc
148,1,congrats bongjae i love you
149,1,small titty appreciation fave if your muse also loves the itty bitty committee
150,1,pls im rewatching this usui is so weird but i love him
151,1,diamm
152,1,i probably would have loved long hair diego if the wig wasnt so obviously fake and short hair just
153,1,maaaaan i love that guava color way more than the noir youre a lucky man
154,1,i love you too
155,1,i love my beautiful friends
156,1,oml i love this
157,1,i love seeing my boy joe pop up on my feed beating racists one day at a time
158,1,never knew i could love a concept as much as i love sugar and the remix by brockhampton theyre two entirely different songs yall
159,1,i think i fell in love
160,1,they r giving us love one by one since we said we r missing them i love them
161,1,my love
162,1,i love ur fingerclouds so cute and pretty
163,1,how in love and obsessed i am for this song i cant explain it hit hard
164,1,i love you
165,1,love you
166,1,lets see what lies ahead but i love you too and thats all that counts sending namu kithes to you
167,1,heroooo you making me cryyyy im so glad you like it i always love drawing hero and cant wait
168,1,i love that nastyparty mashup so much i had to screenrecord it so i can listen to it whenever i want
169,1,you have the most beautiful smile in the world i love you
170,1,i love their frienship sm
171,1,im glad you love it i lub u
172,1,chill on me
173,1,so cute i loved this
174,1,vzghskzisbxdy please i love the arirang song so much
175,1,my bf cut his curls off but i love the short hair
176,1,he is so cute i really love his striped tail
177,1,confesses my undying love to you austin omg hey
178,1,idk what i would do without black men i honestly love men theyre so good to us black women
179,1,im cooking garlic seared steak shrimp roasted potatoes and broccoli for my baby on valentines day i love them they work so hard
180,1,my love for you is like diarrhea i cant hold it in
181,1,i love hearing it from anyone i hold dear it is just like saying i love you to me
182,1,thank you love
183,1,this was the day i fell in love with myself again
184,1,thank you love
185,1,love u more
186,1,oh my goodness just played this sound and lilly ran to my rescue in under 10 seconds i love you lilly
187,1,i love them
188,1,this man loves violence
189,1,i love this so much
190,1,oh man i loved sagwa as kid i want those plushies
191,1,i love nobackground version too
192,1,mannnnn i love him so much
193,1,i would love to get attack on titan
